review_text,review_posted_date,review_header,review_rating,review_author
The combination of coconut water with the hint of pineapple is delicious!,23 Dec 2017,Five Stars,5.0 ,Rebecca D. Huff
Of course I had to jump on the coconut bandwagon but just don’t like the plain stuff. I keep these on hand at all times. They are really refreshing after a workout. They are also good for when someone is sick. Definitely helps you feel better.,07 Oct 2016,healthy water,4.0 ,girlypants
i love the products of vita coco cocont water. peach mango is the best flavor. good price,21 Oct 2018,good price and best flavor,5.0 ,Kathy
BEST flavor of coconut water!,19 Jun 2018,Five Stars,5.0 ,Jordan Longtin
My daughter loves these after practice!,31 Mar 2019,Great for hydration,5.0 ,Teacher and Mom of 3
"These convenient tetra paks of Vita (""life"" in Italian) Coco Coconut Water WITH Pineapple is a smart and easy way to rehydrate! I lose a lot of electrolytes (sodium and potassium) and this little pak is ""paked"" with them! I used to drink Gatorade for the same purpose of hydrating, and they took up a lot of space inside my refrigerator. But not these! I just bought two boxes of these and am now ready to buy two more!!!",15 Aug 2012,Hydration Never Tasted and Felt so Good!,5.0 ,A. Williams
I don't like it but my husband loves it. Coconut water is gross to me. I can only drink the chocolate kind. I love coconut flavor. Makes me feel good though obviously healthy lots of potassium. Helps with charlie horse problems because of that.,09 Dec 2016,Tasty fruity healthy coconut water,5.0 ,Izi
Vita Coconut Water is delicious in all flavors including the unflavored Coconut water hydrates and provides Incredible health benefits!,02 Aug 2018,Excellent purchase!!,5.0 ,ladybug
"Excelente, refrescante y riquísima.",03 Oct 2017,Five Stars,5.0 ,Rosa
"As I mentioned in my review for Vitacoco's coconut water with acai & pomegranate, I recently discovered this product at a local market and enjoyed it as a way to rehydrate after a hot day on the golf course. According to the label, coconut water has more potassium than a banana and of all the flavors, the pineapple is easily my favorite. Found it for a good price on Amazon and ordered it by the case. It shipped quickly and without problem. Will definitely be buying again...",17 Sep 2009,Best coconut water on the market...,5.0 ,Rod Wms
It take much better than regular coconut water!,16 Aug 2018,Five Stars,5.0 ,Sunshine
The awesome vita coco with a twist. Very refreshing. It tastes best ice cold!,29 Oct 2018,Delicious and different,5.0 ,luckychik77
"Really love this>plain or in smoothies. The colder ,the better it tastes",22 Nov 2018,Love this hydratng drink!,5.0 ,luckychik77
The person that said there is no Pineapple in the Pineapple flavored Coconut water is probably eating something super sweet b4 drinking it. AMAZINGLY WONDERFUL. I was lovin the plain. The I tried the pineapple and it was so good I went out and bought a bottle of Knudsons Organic Pineapple juice to blend with my 12 Liters of plain I bought. But the Pineapple blend direct from Vita Coco is the absolute BEST.,14 Feb 2011,WOW EXcellent Taste Not too sweet but wonderful,5.0 ,DAC
"An excellent refreshing pick me up - especially after exercising. It is best served over ice. I tried it as a mixer for an alcoholic drink and it totally did not work. The fruit flavor is light versus heavy and the coconut flavor really comes through even though this is coconut ""water"" versus the heavier coconut ""milk"". The one downside is the package comes with no straw so you must have a sharp clean object handy to penetrate the seal.",23 Apr 2013,excellent fruit and coconut beverage for those who love both,5.0 ,Sharon L. Tryon
My hubby hated it. I loved it. More for me. ;),31 Jul 2018,Five Stars,5.0 ,Amazon Customer
I got hooked on VitaCoco buying it on accident once and it is delicious. I like the Peach Mango flavor the best. On my vacation to the Caribbean Islands I got to try different ideas from the natives and found that green coconut water was good for hangovers and brown coconut water was good for constipation. Well VitaCoco falls into the hangover category. In fact I find that using VitaCoco as an alcohol mixer works great to balance out the equation.,24 Jun 2010,I love it!,5.0 ,TQ
Cheaper than getting it at Sam's. LOVE the taste.,02 Sep 2018,LOVE the taste,5.0 ,Marcus Richardson
This stuff is awesome. I'd buy it on auto-renew if I were made of money.,10 Jul 2018,YUM!,5.0 ,Review Chick
A lifesaver for my brother. Really helps hydrate.,10 Oct 2018,Great,5.0 ,Terri
"These are my favorite, but I don’t buy them much because they’re pricy. Can’t drink too many at once or it gives me an upset stomach.",12 Jun 2018,Love them!,5.0 ,brittney luycx
"Taste great! I don’t like the taste of Regular coconut water. This hits the spot. It’s a little tart, but it’s delicious. I will definitely buy again",08 Sep 2018,delicious,5.0 ,Terry
"Tasted okay, but the mixture of lemonade and coconut water is ""special"". Not sure if it's due to their expirations, I didn't realize it until had a few bottles. I bought it as a subscription. It arrived on May 28, 2017 and the best to use date printed on box is May 24, 2017.",30 May 2017,2017 and the best to use date printed on box is May 24,1.0 ,YZeng
"I like regular Coconut water, but I don't love it. This flavor is very sweet so it tastes a million times better and I love it. Even people who HATE coconut water (they usually say it tastes like dirty water) have told me this one isn't bad and some have even really liked it. I don't like drinking water so this is a really good alternative for me.",23 Jun 2015,I like regular Coconut water,5.0 ,Manny M.
If you aren't wild about coconut water but still want the benefit then I highly recommend this. It is delicious!! I loved it!! Now I need to order more!!,03 Jul 2016,delicious!!,5.0 ,Jenny
"I normally use these after my Bikram yoga class but they are great after any workout. They are a bit high in calories so I try to limit to after a tough workout but they taste great and I highly recommend them. HOWEVER, they have sent me new bottles that drip everywhere because the top where you drink has a change to it. Horrible. Half my drink spills/leaks on the floor before I get it to my mouth. I cancelled my membership because I refuse to pay for a product that has dysfunctional packaging.",06 Oct 2012,Cancelled Subscription Because of Packaging Change,1.0 ,Dutch Girl
